Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];;;
jutro 01:00;Ellerton vs Wotton;Barbados 1;1.28 (1);75.0;10.0;15.0;;;PRAWDA
jutro 19:30;Al Nasr vs Kuwait SC;Kuwait 1;1.2 (2);10.0;75.0;15.0;;;-
jutro 21:00;Brentford vs Wolverhampton Wanderers;England 1;1.55 (1);75.0;10.0;15.0;;;REMIS
jutro 20:00;Helmond Sport vs Cambuur;Netherlands 2;1.72 (2);10.0;70.0;20.0;;;PRAWDA
jutro 20:30;Bassano Virtus vs Inter U23;Italy 3;1.57 (1);70.0;15.0;15.0;;;PRAWDA
jutro 02:30;Atletico Junior vs Fortaleza FC;Colombia 1;1.53 (1);70.0;10.0;20.0;;;PRAWDA
jutro 19:30;Al Tadhamon vs Al-Qadsia;Kuwait 1;1.4 (2);10.0;70.0;20.0;;;-
jutro 20:00;Jong AZ Alkmaar vs MVV Maastricht;Netherlands 2;4.75 (2);65.0;10.0;25.0;;;
jutro 20:45;Chelmsford vs Slough Town;England 6;3.7 (2);65.0;25.0;10.0;;;
jutro 22:30;San Lorenzo vs Defensa y Justicia;Argentina 1;4.1 (2);65.0;15.0;20.0;;;
jutro 02:00;CF America vs Mazatlan FC;Mexico 1;1.36 (1);65.0;10.0;25.0;;;
jutro 19:30;Rayon Sports vs Al Merreikh;Rwanda 1;2.75 (2);35.0;60.0;5.0;;;
jutro 21:15;Torreense vs Portimonense;Portugal 2;1.75 (1);60.0;20.0;20.0;;;
jutro 20:00;FC Den Bosch vs Jong PSV;Netherlands 2;1.83 (1);55.0;25.0;20.0;;;
jutro 20:00;Roda JC Kerkrade vs Vitesse;Netherlands 2;3.6 (2);55.0;5.0;40.0;;;
jutro 19:30;Barracas Central vs Atletico Tucuman;Argentina 1;2.8 (1);35.0;55.0;10.0;;;
jutro 19:00;Pogoń Szczecin vs Korona Kielce;Poland 1;1.95 (1);50.0;15.0;35.0;;;
jutro 21:00;Portsmouth vs Derby County;England 2;2.2 (1);30.0;50.0;20.0;;;
jutro 01:00;Waterhouse FC vs Montego Bay United FC;Jamaica 1;2.9 (1);15.0;50.0;35.0;;;
jutro 18:00;Ethnikos Achnas vs AEK Larnaca;Cyprus 1;1.55 (2);10.0;50.0;40.0;;;
jutro 17:00;Arda Kardzhali vs Dobrudzha Dobrich;Bulgaria 1;1.55 (1);50.0;30.0;20.0;;;
jutro 11:30;Bandırmaspor vs IÄŸdÄ±r FK;Turkey 2;2.7 (1);20.0;50.0;30.0;;;
jutro 20:45;Cremonese vs Fiorentina;European Championship U-21 1;1.9 (2);25.0;50.0;25.0;;;
jutro 21:00;Rayo Vallecano vs Levante;Spain 1;1.7 (1);45.0;30.0;25.0;;;
jutro 14:00;Çorum Belediyespor vs Erokspor;Turkey 2;2.75 (2);45.0;25.0;30.0;;;
jutro 19:00;Al-Nasr Salalah vs Al-Shabab Club;Oman 1;2.3 (2);45.0;30.0;25.0;;;
jutro 19:00;Oman FC vs Al-Khabourah;Oman 1;3.75 (2);45.0;15.0;40.0;;;
jutro 20:00;Ferencvaros vs Puskas FC Academy;Hungary 1;1.4 (1);45.0;25.0;30.0;;;
jutro 19:45;FC Porto B vs Oliveirense;Portugal 2;2.0 (1);25.0;40.0;35.0;;;
jutro 20:30;Albacete vs Las Palmas;Spain 2;2.35 (2);25.0;40.0;35.0;;;
jutro 20:45;Annecy FC vs Troyes;France 2;2.7 (1);25.0;35.0;40.0;;;
jutro 17:00;Napredak vs OFK Beograd;Serbia 1;1.85 (2);35.0;30.0;35.0;;;
